fullname,hand,ioc,ht,sex
Vincent Millot,L,FRA,173,M
Victor Estrella,R,DOM,173,M
Gonzalo Escobar,L,ECU,,M
Tomislav Brkic,R,BIH,,M
Florian Mayer,R,GER,190,M
Gastao Elias,R,POR,178,M
Thomaz Bellucci,L,BRA,188,M
Hernan Casanova,,ARG,,M
Guilherme Clezar,R,BRA,,M
Mikhail Youzhny,R,RUS,183,M
Tim Van Rijthoven,R,NED,,M
Jack Sock,R,USA,185,M
Renzo Olivo,R,ARG,,M
Renata Zarazua,R,MEX,,F
Carol Zhao,R,CAN,,F
Deniz Khazaniuk,,ISR,,F
Ivan Nedelko,R,RUS,,M
Coco Vandeweghe,R,USA,185,F
Evan King,L,USA,185,M
Roberta Vinci,R,ITA,163,F
Ashley Kratzer,L,USA,,F
Claire Liu,R,USA,170,F
Patrick Kypson,R,USA,,M
Filip Peliwo,R,CAN,,M
Jurgen Melzer,L,AUT,183,M
Yshai Oliel,L,ISR,,M
Khumoun Sultanov,R,UZB,,M
Gerardo Lopez Villasenor,,MEX,,M
Daniel Michalski,,POL,,M
Adrian Ungur,R,ROU,178,M
Edris Fetisleam,,ROU,,M
Jeson Patrombon,R,PHI,,M
Francisco Llanes,,URU,,M
Joao Monteiro,,POR,,M
Frederico Gil,R,POR,178,M
Daniel Gimeno Traver,R,ESP,185,M
Daniel Masur,R,GER,,M
Marko Miladinovic,,SRB,,M
Jeremy Jahn,R,GER,180,M
Jordi Samper Montana,,ESP,,M
Joris De Loore,R,BEL,,M
Mariana Duque Marino,R,COL,,F
Jan Choinski,R,GER,,M
Maryna Zanevska,R,UKR,,F
Julia Grabher,R,AUT,,F
Deborah Chiesa,R,ITA,,F
Margot Yerolymos,,FRA,,F
Harmony Tan,R,FRA,,F
Francesca Schiavone,R,ITA,166,F
Grace Min,R,USA,,F
Miliaan Niesten,,NED,,M
Max Purcell,R,AUS,,M
Katarzyna Piter,R,POL,,F
Sviatlana Pirazhenka,R,BLR,,F
Victoria Duval,R,USA,,F
Tim Puetz,R,GER,,M
Ergi Kirkin,R,TUR,,M
Alessandro Bega,R,ITA,,M
Katy Dunne,R,GBR,,F
Andrea Hlavackova,R,CZE,174,F
Lloyd Glasspool,,GBR,,M
Alexander Ward,,GBR,,M
